weight logl α₁ f₁ α₂ variance ν μ A ϕ T₀
0.000000000000000000e+00 -9.666838472824142627e+02 6.041387424824182784e-01 2.014341653613458891e-02 7.176357400090014327e-01 1.093559934167661757e-01 3.290122482050256147e-01 8.013715058853845274e-01 2.601230183757155423e+00 3.836638672655107385e+00 1.936863206910568636e+02
0.000000000000000000e+00 -9.587850599769325299e+02 5.918673184258111952e-01 4.625328339468343763e+00 1.856358060504448959e+00 3.314794581280534197e-02 1.805899627162262933e+00 1.377868221822991845e+00 1.408426763664144099e+00 2.527895663480677513e+00 1.396220414011739877e+02
0.000000000000000000e+00 -9.576605815386344602e+02 7.673567427171064104e-01 3.151942999703677195e+00 3.209865239720329111e+00 5.940023231084999578e-02 4.207232082674617346e-01 3.664233965355658817e+00 2.179656653098098751e+00 2.017331832180892515e-01 2.154441825865330316e+02
0.000000000000000000e+00 -9.486994285431539993e+02 2.729833764879964764e-01 1.838037648731814189e+00 1.554520175172439789e+00 4.900192135427134943e-01 1.581615498315858348e+00 3.247160999287747707e+00 9.869035300598569815e-01 3.914483504967296579e+00 1.919986125977427207e+02
0.000000000000000000e+00 -9.261686479036936817e+02 1.840981607414570731e-01 7.377147160384731235e-03 2.533005224689679480e-01 6.872359521913877500e-02 2.031445686995922095e+00 3.922603790496228537e-01 2.022734945030985276e+00 4.891884214577592260e+00 2.539303597590483719e+02
0.000000000000000000e+00 -9.224449050064761195e+02 2.356808337255801300e-01 2.706154799008293921e+00 1.421629255385469914e+00 2.123498221774101219e-02 3.418845729298609637e+00 6.181502848916952120e-01 5.240752803739380239e-01 3.675211922921269192e+00 2.892262304730420510e+02
0.000000000000000000e+00 -9.178732311392581096e+02 3.094775891600405893e-01 1.945386032138246790e+00 4.856276325944883787e-01 4.053823978028028852e-01 6.299653987652220621e-01 1.046177249039558887e+00 9.931143644826719852e-01 1.886877967336447082e+00 6.367872492040730776e+02
0.000000000000000000e+00 -9.132705511923862787e+02 1.310687537188146568e+00 2.999605665907573160e-01 2.852202033913846080e+00 2.350468203424412733e-02 1.492014507299768700e-01 1.635841789163637428e+00 4.291497516740972351e+00 5.885697062587587958e+00 2.901453152117625223e+02
0.000000000000000000e+00 -9.078531685471826904e+02 3.621829690619973730e-01 6.256856938589394623e-02 1.064394324580878903e+00 1.342172107700231876e-01 3.981330483999265257e-01 4.209067345957658191e+00 3.396851331232251803e-01 2.140096519478360104e+00 3.519934064352473797e+02
0.000000000000000000e+00 -8.959946965904014178e+02 9.230222832730896609e-01 3.445229069447113268e-01 1.008061432534296697e+00 4.928091079487982584e-02 7.238582395931578706e-01 -8.831786386827178426e-02 3.556637092832117375e+00 4.611342085824233772e-01 3.457153418181234770e+02
0.000000000000000000e+00 -8.782764747055907719e+02 7.537017431871662065e-01 2.381418449177957974e+00 1.120921031801951573e+00 3.175946296110055550e-02 9.926289584752380213e-01 5.071128005463816368e-01 2.231427477624952083e+00 1.854220292819955374e+00 2.245740786802950311e+02
0.000000000000000000e+00 -8.489125108965511117e+02 3.173158115222630138e-01 2.418550440736557706e-03 3.532745277985083199e-01 2.591559614308082127e-01 2.329599243665116948e+00 1.336966539186687841e+00 1.257544454003425294e-01 4.755954046178420214e+00 1.966495125010445975e+02
