α₁ f₁ α₂ variance ν μ c
4.830584215625700617e-01 3.464123369883475353e-03 2.598829310291014938e+00 1.174130575506437957e-02 1.140458167135461887e+00 1.457546774582099969e-01 6.879112778616611505e-06
4.485810140400531276e-02 1.424572541199122010e-03 2.891759961585200767e+00 6.195523804906846038e-02 9.923144385645582544e-01 5.198796409355883608e-01 5.189562704368789418e-04
1.030417846926494851e+00 9.286891161582664159e-03 2.942787602247205925e+00 9.731115633989116664e-03 1.213619511085829217e+00 1.065385319550310184e-01 2.153479578437343989e-05
1.087871325820038981e+00 1.605748130506144677e-03 2.681423352097302093e+00 3.395337271526040201e-02 1.162378405216608623e+00 5.399370224298895016e-01 1.565479511065794331e-03
1.002452417404393614e+00 7.845390063181660470e-04 2.599237480353928209e+00 2.187521293500832228e-02 1.108320515557845942e+00 1.516203674772690357e-01 2.491150140494671249e-05
1.139652165708178178e+00 5.473003767797780805e-03 2.822671318045904876e+00 2.006775915312281749e-02 1.195573524093238804e+00 7.458459047209617387e-02 1.325536070103201851e-05
1.675801663531956143e-01 3.096578522284041866e-04 2.426681519221957739e+00 2.429402087910467051e-02 1.012197533828872453e+00 2.277418687734588665e-01 6.443485534090887960e-06
6.026711822892121262e-01 3.412642655008905099e-04 2.672252806931961544e+00 3.204274378770732845e-02 1.065565161491902613e+00 6.995410677993081361e-01 2.248762525869277172e-06
5.183435644950628030e-01 2.124862600387904255e-03 2.777866070468348880e+00 2.928470698160955815e-02 1.119394076532283622e+00 5.245557971573088230e-01 2.405226471680790807e-05
9.733472886031226956e-01 8.462831561266467850e-03 2.931753882432626135e+00 1.075691675834112432e-02 1.124738080370475179e+00 3.582245295586469758e-01 4.188027515604941103e-03
3.970976301128243402e-01 2.440236164662919292e-03 2.760436842329687668e+00 2.772296470899070220e-02 1.163873155872971132e+00 2.588566472176836442e-01 1.735354776248594741e-04
6.823919866989347494e-01 3.050655589771821756e-04 2.617159622270972985e+00 2.636407222960934424e-02 1.248850819691975422e+00 -1.782916930988007298e+00 1.741200643983318064e-06
8.067552561812108003e-01 6.035542109800691619e-03 2.878795096051492308e+00 1.535199149098199350e-02 1.183208893539208661e+00 1.458670038878987774e-01 3.218678063689693456e-05
6.515925994654487852e-01 5.718206036754413732e-03 2.857618895705964501e+00 1.458060457869258739e-02 1.069191375912465602e+00 1.604510370785177109e-01 1.261529448255132892e-06
8.363163519821383840e-01 3.990862072125547257e-03 2.874183197039731574e+00 2.911175255123872249e-02 9.813257878035716031e-01 4.980284562856758246e-01 1.222352560462013322e-05
6.322696320871166176e-01 4.744384591005777990e-04 2.545842968672105577e+00 2.483090212201792893e-02 1.051030865777026202e+00 -1.968776303215136192e-01 4.901717967161162235e-05
5.937481412054009811e-01 2.521043150749964316e-03 2.860499357208383220e+00 3.494811473175949562e-02 1.011900434356760137e+00 3.737563129586762845e-02 1.346064870008875166e-06
1.098657976418000226e+00 2.232600664857843208e-03 2.668701768552558029e+00 2.053767439551788809e-02 1.113471475504979935e+00 9.950831881654601530e-01 9.711245245878239666e-05
8.743042700346015383e-01 5.139387666951166639e-03 2.932404322978226396e+00 2.061988344574921389e-02 1.172018271148532520e+00 1.540080345507094384e-02 2.277174411183909079e-06
7.991701552687187071e-01 1.624929147568530963e-03 2.652992937097744974e+00 2.212421091217600666e-02 1.129611241402877386e+00 4.302570690869161885e-01 1.721813039863052410e-04
6.326809152129688751e-01 5.769497592098628974e-03 2.724748323427865770e+00 1.163425076146176740e-02 1.295278851967139211e+00 1.012414581639503874e-01 2.793535571336791014e-03
6.010393973196550554e-01 2.755435808604982974e-03 2.563184230414868203e+00 1.666442873387744342e-02 1.249638889434750100e+00 -3.138096931875339335e-02 1.041012742944097334e-06
1.047671491504438945e+00 6.764475541898686342e-03 2.712519386847398906e+00 9.074355935049308042e-03 1.093962076936461081e+00 2.103260410420668691e-01 6.966927028961967085e-04
5.590528860771313280e-01 7.093931509315166365e-04 2.478946172746252508e+00 2.176481006400342311e-02 1.022871249983820396e+00 2.672974613923526643e-01 2.723615028613736791e-04
7.172864272951704478e-01 8.193478616896784222e-03 3.101105239158368665e+00 1.169414222455470928e-02 1.227166847125898963e+00 2.604290546473378987e-01 1.388433052488774510e-03
9.326033392617536499e-01 1.856678524445176367e-03 2.650615002989833435e+00 2.598506989261301081e-02 1.006599238333929058e+00 -1.037329722937342935e-01 6.612739422089391073e-04
9.221217011966751365e-01 1.004180523779495474e-02 3.140820645779668574e+00 1.474465828181792393e-02 1.158842762668700122e+00 1.761946951787346227e-01 1.805306938305847704e-05
4.715721665600385304e-01 1.561697307020849194e-03 2.611661888847890189e+00 2.641403483848958622e-02 1.029468599838406329e+00 2.204895980812021927e-01 5.256035873607539628e-06
1.103203853674890489e+00 3.581860379104474454e-03 2.826754700364273454e+00 1.857376408300979651e-02 1.270956607021196616e+00 4.599866092891922165e-01 1.202487989311056201e-05
7.963874934297187069e-01 1.599338289932070167e-03 2.403614657017396183e+00 1.334387554868054354e-02 1.025840660741369037e+00 8.357858826428965493e-02 4.336203128943139425e-06
3.289606170919858741e-01 2.876444765544585759e-03 2.603558695071194418e+00 1.802326100527027603e-02 1.123077574640154674e+00 4.139247274425564838e-01 9.483783238645278801e-05
1.095959405023404221e-01 3.394566912207713349e-03 2.711590907176507415e+00 1.770582942226729684e-02 9.412571791475974337e-01 3.050834658055232573e-01 5.082435803023774594e-04
8.311462386597330276e-01 1.398279090107306050e-03 2.723543594245096067e+00 3.301943393979477753e-02 1.155084227254963958e+00 9.997026415286164314e-02 8.459023439160135804e-05
1.164199876343646078e+00 2.882596805331626762e-03 2.495664288856015656e+00 1.587800822927249583e-02 1.178426842181623746e+00 7.522968100902360788e-03 1.922163064198904690e-05
1.179875095812752184e+00 8.031484439112376861e-03 3.202145467300871573e+00 1.946828317446317250e-02 1.236085752794770842e+00 -2.176659694060645300e-02 7.409934109253090846e-06
1.166014454879373607e+00 9.602411001403960214e-03 2.899920287168464839e+00 1.128490834355185685e-02 9.919142277828956189e-01 2.359375509065687881e-01 1.706203038131470605e-05
1.554146255867264181e-02 2.357179796354798990e-03 3.014503495901841301e+00 4.470696661642568903e-02 1.188517516095565441e+00 6.055454568493603418e-01 2.820294714321688301e-06
7.010195457684620379e-01 5.381589050216970763e-04 2.592668434235433139e+00 3.146886405390909858e-02 9.899231547466103009e-01 7.589799549216129648e-01 3.284943288624312405e-06
4.992370783845229143e-01 3.715904050189015179e-03 2.810142885861540929e+00 1.833356289499065567e-02 1.062150495615014512e+00 3.163746454317781232e-01 2.402240902432435039e-05
2.074598641613427386e-01 1.101752356381605329e-03 2.285982746431158841e+00 1.045382890007339610e-02 1.177345679018089841e+00 3.604403410525776619e-01 2.377409422299758834e-05
6.796551365513250342e-01 9.451613645337633360e-04 2.563211383506603269e+00 2.491936371616747595e-02 1.043637774312571986e+00 3.328168801943227062e-01 2.586939188025936509e-05
1.133065049235547850e+00 7.018519524355137408e-03 2.681288908683892025e+00 1.121203219442060833e-02 9.669081026552663882e-01 2.539753022543245198e-02 8.181100165941388155e-06
8.296644532539804162e-01 5.707240275057676865e-03 3.088294884678465468e+00 2.120010679070353371e-02 1.104163062728475087e+00 2.930856929281069334e-01 7.001181116700833443e-04
1.267928944260970359e-01 3.900930373573840201e-03 2.972252403939971810e+00 2.140959918619446054e-02 1.164057971084609511e+00 1.583286743478123926e-01 4.333234419961915981e-04
